# Members Section
[Members]
ID,Name
202301003ALOK KUMAR
202301007ISHITA CHAUHAN
202301015TARUN KUMAR
202301018PRIYA PATEL
202301025RIYA SHARMA
202301031MOHAN KUMAR
202301042NEHA MISHRA
202301050BHAVYA MEHTA
202301062GAURAV TIWARI
202301073SANDHYA SINGH
202301087YASH GUPTA
202301101SONAL JAIN
202301109ADITI SINGH
202301118PRAKASH SHARMA
202301122DEEPIKA MALHOTRA
202301135DIYA VERMA
202301143SHIVAM SHARMA
202301151MANISHA GUPTA
202301162ROHIT GUPTA
202301171VANDANA TIWARI
202301183SAGAR MALHOTRA
202301195VIKAS VERMA
202301202VARUN SINGH
202301215SUMIT PATEL
202301220AARAV SHARMA
202301232RAJESH SINGH
202301245KRITIKA KAPOOR
202301256POOJA SINGH
202301262CHIRAG JOSHI
202301271AARADHYA SINGH
202301284TANVI SINGH
202301295NIKHIL JAIN
202301303DEVENDRA SINGH
202301312KARAN SHARMA
202301327ZOYA KHAN
202301336SAMEER YADAV
202301345VAIBHAV GUPTA
202301357ABHINAV SHARMA
202301365RAHUL KUMAR
202301372VISHAL SHARMA
202301381ANANYA GUPTA
202301396SNEHA VERMA
202301404ROHAN PATEL
202301416URVASHI SHARMA
202301424MOHIT YADAV
202301437SACHIN TIWARI
202301442ADITYA VERMA
202301459ISHAN GUPTA
202301462KARTIK SINGH
202301475RIYA PATEL
202201003VIKRAM SINGH
202201007AISHA KHAN
202201015SIDDHARTH SHARMA
202201018MEERA PATEL
202201025ROHAN GUPTA
202201031NEHA VERMA
202201042RAHUL SINGH
202201050POOJA SHARMA
202201062ADITYA KAPOOR
202201073PRIYA TIWARI
202201087ANIKET SINGH
202201101KAVYA GUPTA
202201109VARUN KUMAR
202201118SIMRAN MALHOTRA
202201122KARAN PATEL
202201135NISHA SHARMA
202201143RAKESH SINGH
202201151RITU GUPTA
202201162VIVEK YADAV
202201171NEHA TIWARI
202201183PRASHANT SHARMA
202201195ANJALI SINGH
202201202ARNAV VERMA
202201215MUSKAN GUPTA
202201220ANKIT PATEL
202201232SAUMYA SINGH
202201245ROHIT MALHOTRA
202201256JYOTI TIWARI
202201262SUMIT KUMAR
202201271AARTI SHARMA
202201284VISHWAS SINGH
202201295KOMAL GUPTA
202201303YUVRAJ SINGH
202201312KIRTI SHARMA
202201327PANKAJ PATEL
202201336AKASH KUMAR
202201345SONALI VERMA
202201357ANSHUL SINGH
202201365NIDHI GUPTA
202201372RAJAT SHARMA
202201381PRIYANKA SINGH
202201396SAHIL VERMA
202201404KIRTIKA SHARMA
202201416DEVANSH SINGH
202201424VAISHNAVI PATEL
202201437ABHISHEK GUPTA
202201442TANISHA SINGH
202201459MANISHA VERMA
202201462ROHIT KUMAR
202201475ISHIKA SHARMA
202101003ADITYA SINGH
202101007NEHA SHARMA
202101015RAHUL VERMA
202101018MEENAKSHI GUPTA
202101025VIVEK PATEL
202101031SAKSHI SINGH
202101042RAJAT MALHOTRA
202101050DIVYA TIWARI
202101062ABHINAV KAPOOR
202101073ASHIMA TIWARI
202101087KARAN SINGHANIA
202101101SNEHA GUPTA
202101109VIKAS KUMAR
202101118SHREYA MALHOTRA
202101122AJAY PATEL
202101135ANJALI SHARMA
202101143RAJEEV GUPTA
202101151SURAJ VERMA
202101162AARTI YADAV
202101171PRATEEK TIWARI
202101183SNEHA SHARMA
202101195MAYANK SINGH
202101202SHIVANI VERMA
202101215RAHUL PATEL
202101220ADITI SINGH
202101232ARJUN MALHOTRA
202101245KRITIKA GUPTA
202101256ANKIT TIWARI
202101262VARSHA SHARMA
202101271DEEPAK VERMA
202101284SONIA SINGH
202101295ALOK GUPTA
202101303DEEPIKA PATEL
202101312SAURABH MALHOTRA
202101327SHWETA SINGH
202101336VIKRANT TIWARI
202101345NISHA MALHOTRA
202101357PRAKASH SINGH
202101365KIRTI VERMA
202101372AKSHAY SHARMA
202101381SHIKHA GUPTA
202101396VIKRAM MALHOTRA
202101404KOMAL SINGH
202101416RAHUL VERMA
202101424MONIKA SHARMA
202101437AJAY TIWARI
202101442NIKITA SINGH
202101459ANKIT MALHOTRA
202101462SAPNA GUPTA
202101475ABHISHEK SINGH

# Memberships Section
[Memberships]
Member ID,Club Name,Role (Optional)
202301003DADC Club,Member
202301007Music Club,Member
202301007Cubing Club,Member
202301015EHC Club,Member
202301018DTG Club, Member
202301023Film Club,Member
202301031Music Club,Member
202301031Heritage Club,Member
202301042Music Club,Member
202301050Debate Club,Member
202301062Music Club,Member
202301062Heritage Club,Member
202301062Cubing Club,Member
202301073CINS Club,Member
202301087PMMC Club,Member
202301087Muse Club,Member
202301101DADC Club,Member
202301101Press Club,Member
202301101Debate Club,Member
202301109CINS Club,Member
202301109MSTC Club,Member
202301109Heritage Club,Member
202301118Programming Club,Member
202301118Muse Club,Member
202301122PMMC Club,Member
202301135EHC Club,Member
